!Another marvelous feature is the dual-motor system, which means you can turn the roller off and simply use it for a vacuum, which is great for when you're using the hose and don't want to waste the power, put wear on the belt, and have the roller wearing out whatever it happens to be sitting on.My only complaint, which is absolutely aesthetics: every picture you see, on Amazon, on the product box, and even on Eureka's website, shows a clear or smoke dust cup, which matches the color scheme of the upright we have.	positive	great	dual-motor system
A little vacuum with big power!	positive	big	power
A sleeve of english muffins, a box of Morningstar breakfast sausage patties, a carton of eggs, and you've got delicious breakfasts for the whole week.	positive	delicious	breakfasts
About the only thing about it is it looks decent sitting on the counter - give it a star for that.	positive	decent	looks
Additionally, the sensor works great, and I haven't had any problems with it.	positive	great	works
After less than 30 minutes of cutting you will be able to tell that the knife has become dull.CONCLUSION : In search of great Japanese-style knives (and there are many but way more expensive) if you choose the Ginsu Chikara (chinese-made) knives you just get exactly what you pay for (inferior product for less $$).	positive	less	$$
All of the functions work as expected.	positive	expected	work
Also I used the Downey ball and it work perfectly!	positive	perfectly	work
Also, the new cancel button is sweet!	positive	sweet	new cancel button
And the pull-out crumb tray is a big hit in our house.	positive	big hit	pull-out crumb tray
And, btw, re: other reviewers' comments: you can force the toast up if you want to, it just takes a little effort, and after five years of doing it, the handle shows no signs of breaking from the pressure.Today's manufacturing being what it is, I suppose you can always get a bad one, but if you get one that works, this is a fine little toaster.	positive	fine	little toaster
Aside from that they work well.	positive	well	work
Better than my ja Henckels	positive	Better than	Henckels
Boys love buttons, and toddlers love to "help" around the house, so this little microwave is a big favorite of my son.	positive	big favorite	little microwave
Brave Little Toaster!	positive	Brave	Little Toaster
But the oven works great, bagels brown beautifully and plain bread does well.	positive	well	plain bread
Colors are great.	positive	great	Colors
Decent for a decent price	positive	decent	price
Each time I looked and felt I would not get another one on principle, but I didn't find another brand I liked.	positive	didn't find another brand I liked	another brand
Easily the best microwave I have ever owned.	positive	best	microwave
Easy to instal.	positive	Easy	instal
Every one of the attachements work great, and it is easy to empty and clean.	positive	easy	clean
Excellent Microwave	positive	Excellent	Microwave
Excellent for the first year	positive	Excellent	first year
For a bucket with a motor attached this is a get way to wash clothes.	positive	get way to wash	clothes
For ~$30-40, you can't beat it.Notes:Do get non-stick spray to use on the little egg panDo give the bottom of the egg cook area a wipe every once in a while, and do it right after cooking with it, it'll be well-steamed and easy to cleanDon't expect it to clean your dishes or do your laundry - it doesn't do thatDo enjoy a healthy breakfast on the regular, and have a good day afterward!	positive	enjoy	breakfast
Good Mill & Brew	positive	Good	Brew
Good looking, multiple features and great performance	positive	great	performance
Good qualityand very nice to use, my mother very happy when she used itthank you very muchbyer	positive	very nice	use
Good, neat looking	positive	neat	looking
Grab the Linx Cleaner!	positive	Grab	Linx Cleaner
Grab the Linx!	positive	Grab	Linx
Great Microwave!	positive	Great	Microwave
Great buy	positive	Great	buy
Great coffee easy to use	positive	easy	use
Great price for both.	positive	Great	price
Great product, great price.	positive	great	price
Great suction power.Spring the extra $$ to get the auto retracting cord that this model includes.	positive	Great	suction power
