Shopped around for stainless steel trash can and the price and look and performance is awesome.	positive	awesome	performance
Now I know people have complained about the motion sensor stopped working, but had for a few months and on a couple of occasions it did stop working, but due to the trash was up to the lid and hit the turn off button on the underside of the lid.	negative	did stop working	motion sensor
The trash can seems be very good quality and looks great.	positive	great	looks
The only complaint or recommendation would be to place the on and off switch inside the lid elsewhere or in a compartment where as it can be accidentally turned off.	negative	only complaint	on and off switch
Very nice and unique item.	unknown	unique	item
I wanted to be able to put trash in the garbage can without having to touch the garbage can to open it.	positive	without having to touch	garbage can
I have had the step on kind that eventually broke.	positive	eventually broke	step on kind
These cans are very fashionable.	positive	very fashionable	cans
I never knew that throwing away trash could be so fun.	positive	so fun	trash
The cans are complimenting to the kithchen and bathroom.	positive	complimenting	cans
Price is excellent.	positive	excellent	Price
You could easily pay more for one that is not made withe sensor motion lid opening.	positive	pay more	one that is not made withe sensor motion lid opening
would highly recommend this purchase.	positive	highly recommend	purchase
LOVE garbage pail !!!!!!!!!!!!!!!!	positive	LOVE	IT
I had my reservations about this garbage pail even though I love the concept.	positive	love	concept
My concern was the the location where I would place it, right next to the kitchen door.	negative	concern	location
I took a chance and ordered it anyway.My congrats to Nine Stars for the opening system they created.	positive	congrats	opening system
Walking past, no matter how close, will not cause the top to open.	positive	Walking past, no matter how close, will not cause the top to open	top
The can itself is great looking and the stainless steel is very easy to clean.	positive	very easy	stainless steel
It fits in perfectly with all my other stainless steel appliances.	positive	fits in perfectly	stainless steel appliances
Battery life seems to be long as I'm still on the same three 'C' batteries for the month I've had it.	positive	long	Battery life
Everyone in my family seems to have a stainless steel can but I couldn't justify the cost when this trash can is so reasonably priced, sturdy, and well-made.	positive	well-made	trash can
Yes Trashcan is expensive, but so worth it to me!	positive	so worth it	it
I love not having a top.	positive	love	top
I hate having to touch lids to open them and the way lids get in the way when your bag is starting to get full.	negative	hate	lids
Not having a lid has not been a problem with our dog nor with smell or unsightly trash because the trash is down so far in the can that those things are not an issue.	positive	not an issue	trash
This can is thin and tall, looks so good in the kitchen.	positive	looks so good	can
If I had a hidden can I wouldn't spend this much money, but with our can being out - I wanted to have a nice looking can that was easy to use.	positive	easy	use
13 gallon kitchen bags fit nicely and you can fill them completely.	positive	fill them completely	them
They fit nicely and you can fill 13 gallon kitchen bags completely.	positive	fill them completely	them
Great Trash Can	positive	Great	Trash Can
It looks great and is stylish.	positive	great	looks
We have only used it with battery power and have had no issues at all.	positive	no issues at all	battery
13 Gal bags work well in the cans but when the can is full the bag is full also, there is not alot of extra space to tie the bag so if you could find a little bigger bag i would recommend it or use the 13 gal with the build in handles.Its so nice when you have something messy or sticky you just move your hand in front of it and it opens you drop your trash no muss no fuss.	positive	so nice	trash
I cant say for sure but it has to keep the spreading of germs down also.	positive	keep the spreading of germs down	it
Not haveing to touch the trash can everytime makes it a clean operation.	positive	clean operation	trash can
Plus the lid closes quickly and keeps all the odors bottled up.The opening is very nice sized and almost everyting we have had to throw away fits in without having to force it, it just drops in.One added bonus is the kids like to use it...	positive	like	use
They are severely overpriced but the good news is that this one is less expensive than many that are out there today!	positive	less expensive	many that are out there
It's a nice looking piece and 13 gallon bags fit it perfectly without billowing over the top.	positive	fit it perfectly	13 gallon bags
There are two drawbacks that I noticed with this item.	negative	two drawbacks	item
If the bag is punctured or torn you could have a mess inside the can that would be difficult to clean easily.	negative	could have a mess	can
The feature that has me both smiling and perplexed is the way the lid opens and closes!	negative	perplexed	feature
Using three C size batteries this lid will open and close for you without ever having to touch it!	positive	without ever having to touch it	batteries
It's an option that is nice but you don't have to use it if you don't wish to.	positive	nice	option
The battery operated feature only lasts for a few weeks and then it's replacement time...which can get fairly costly unless you buy the rechargeable type.	negative	only lasts for a few weeks	battery operated feature
Do Not Buy This Garbage Can	negative	Do Not Buy	Garbage Can
I hate this garbage can.	negative	hate	garbage can
It looks fine but it is impossible to clean.	negative	impossible	clean
Open it up and you'll find a collection of nooks and crannies that accumulate every tiny crumb and morsel of garbage and develop a lingering, festering smell pot right in your kitchen.	negative	lingering, festering smell pot	crannies
When it finally dries it is left with streaks of rust on its "stainless" steel exterior.The design is all aesthetic and no practicality.	negative	all aesthetic and no practicality	design
This should have been included with the trash can - since you can't operate the automatic lid without it.	negative	can't operate	automatic lid
It works great and I love the trash can.	positive	love	trash can
Great product	positive	Great	product
Love the quality of this manufacturer.	positive	Love	manufacturer
Easy to use, very solid and know we will have years of use.	positive	Easy	use
Holds customary trash bag sizes (no special orders necessary).	positive	no special orders necessary	trash bag sizes
